transaction_id,customer_id,store_id,date,time,drink_type,food_item,drink_price,food_price,payment_method,order_method,total_amount
56,18,5,2024-10-10 3:28,3:28:27,Tea,Muffin,5.59,7.85,Card,In-Store,13.44
57,40,2,2024-03-23 15:09,15:09:44,Tea,Protein Box,5.39,1.08,Mobile,In-Store,6.47
58,21,5,2025-01-13 6:46,6:46:06,Tea,Protein Box,6.09,2.52,Cash,In-Store,8.61
59,399,5,2025-01-19 18:21,18:21:32,Cold Brew,Croissant,3.90,3.88,Mobile,In-Store,7.78
60,225,4,2024-09-13 15:28,15:28:50,Cold Brew,Bagel,6.43,3.82,Cash,In-Store,10.26
61,355,2,2024-12-17 16:31,16:31:06,Americano,Protein Box,5.25,3.77,Mobile,In-Store,9.02
62,282,1,2024-08-21 17:17,17:17:37,Tea,None,6.49,1.41,Mobile,In-Store,7.89
63,8,1,2024-02-23 22:24,22:24:41,Cappuccino,Croissant,6.23,1.16,Mobile,In-Store,7.39
64,100,3,2025-01-22 23:59,23:59:29,Tea,Cake Pop,4.16,2.04,Mobile,Mobile App,6.20
65,240,1,2024-07-18 7:48,7:48:50,Tea,Cookie,3.67,7.32,Mobile,In-Store,10.98
66,478,4,2025-01-25 12:33,12:33:10,Frappuccino,None,4.27,0.90,Mobile,Mobile App,5.17
67,87,5,2024-08-04 12:08,12:08:43,Frappuccino,Oatmeal,5.08,6.06,Card,Mobile App,11.14
68,298,5,2024-07-08 16:55,16:55:13,Latte,Sandwich,4.01,6.06,Mobile,Mobile App,10.08
69,428,5,2024-09-02 11:08,11:08:36,Cold Brew,Cookie,4.00,6.48,Card,In-Store,10.48
70,14,2,2024-09-18 1:13,1:13:43,Hot Chocolate,Oatmeal,4.89,7.09,Mobile,In-Store,11.98
71,334,1,2024-11-01 15:02,15:02:58,Cappuccino,Oatmeal,3.60,2.10,Cash,In-Store,5.70
72,2,4,2024-05-05 10:29,10:29:22,Frappuccino,Croissant,3.87,1.80,Mobile,In-Store,5.66
73,375,2,2025-02-20 11:35,11:35:04,Tea,Bagel,4.75,3.72,Mobile,In-Store,8.47
74,293,3,2025-02-02 3:34,3:34:26,Tea,Sandwich,3.69,2.12,Mobile,In-Store,5.81
75,325,4,2024-10-16 0:48,0:48:15,Latte,Protein Box,4.69,5.87,Mobile,In-Store,10.56
76,422,4,2024-11-25 15:11,15:11:26,Latte,Cookie,4.92,5.09,Mobile,In-Store,10.01
77,493,4,2024-05-19 0:41,0:41:48,Cold Brew,Bagel,4.85,7.00,Mobile,Mobile App,11.85
78,41,5,2024-12-19 10:42,10:42:11,Frappuccino,Muffin,6.11,0.66,Card,In-Store,6.77
79,318,4,2024-10-19 21:01,21:01:59,Cappuccino,Oatmeal,5.09,7.32,Cash,In-Store,12.41
80,316,1,2024-05-23 4:53,4:53:05,Cappuccino,None,4.90,2.35,Mobile,In-Store,7.25
81,381,4,2024-12-24 13:48,13:48:42,Hot Chocolate,None,4.73,3.93,Cash,In-Store,8.66
82,111,5,2024-04-17 12:48,12:48:38,Mocha,Muffin,5.95,3.51,Cash,In-Store,9.46
83,14,4,2024-11-06 9:54,9:54:14,Tea,Oatmeal,6.19,6.08,Card,In-Store,12.27
84,231,3,2024-06-15 14:25,14:25:56,Hot Chocolate,Protein Box,6.06,3.36,Mobile,In-Store,9.42
85,473,3,2024-03-13 13:40,13:40:46,Latte,Protein Box,5.52,7.55,Mobile,In-Store,13.07
86,84,5,2024-04-29 5:17,5:17:40,Tea,Muffin,3.91,7.22,Mobile,Mobile App,11.13
87,130,1,2024-07-21 14:53,14:53:18,Espresso,Croissant,4.33,6.98,Card,In-Store,11.31
88,231,1,2024-08-16 14:47,14:47:51,Cold Brew,Protein Box,3.64,0.57,Mobile,In-Store,4.21
89,326,2,2025-01-22 23:41,23:41:15,Tea,Cookie,6.29,6.83,Mobile,In-Store,13.13
90,145,5,2024-10-08 17:07,17:07:56,Hot Chocolate,Sandwich,5.48,6.25,Mobile,In-Store,11.74
91,379,4,2025-01-30 21:34,21:34:25,Americano,Cookie,5.74,0.83,Mobile,Mobile App,6.57
92,345,5,2024-07-17 19:02,19:02:18,Latte,Cake Pop,4.43,0.86,Card,Mobile App,5.29
93,28,2,2024-11-27 0:10,0:10:32,Tea,None,6.04,0.81,Mobile,In-Store,6.85
94,66,5,2024-12-14 22:39,22:39:18,Cappuccino,Oatmeal,4.28,0.09,Card,In-Store,4.37
95,163,5,2024-05-03 20:22,20:22:39,Cold Brew,Sandwich,3.50,4.39,Card,Mobile App,7.89
96,229,2,2024-11-09 14:03,14:03:06,Cappuccino,Oatmeal,4.63,7.79,Mobile,Mobile App,12.42
97,261,1,2024-07-06 8:46,8:46:55,Hot Chocolate,Bagel,5.21,3.51,Mobile,In-Store,8.72
98,449,4,2024-03-27 3:21,3:21:30,Americano,Bagel,4.94,4.33,Card,Mobile App,9.26
99,424,2,2024-11-08 12:52,12:52:45,Latte,Sandwich,6.09,7.74,Mobile,Mobile App,13.83
100,460,3,2024-09-08 18:43,18:43:13,Espresso,Croissant,3.82,2.04,Mobile,Mobile App,5.86
101,440,1,2024-08-24 17:28,17:28:54,Tea,Protein Box,5.16,6.87,Mobile,In-Store,12.03
102,164,3,2024-09-05 7:09,7:09:35,Tea,Protein Box,5.04,4.37,Mobile,In-Store,9.41
103,301,1,2024-04-15 0:14,0:14:41,Hot Chocolate,Protein Box,4.34,4.56,Mobile,Mobile App,8.90
104,407,4,2024-03-19 3:30,3:30:48,Hot Chocolate,Croissant,5.97,2.75,Mobile,In-Store,8.71
105,303,4,2025-02-18 21:00,21:00:47,Americano,Protein Box,5.76,4.49,Mobile,Mobile App,10.25
106,287,5,2024-03-22 15:30,15:30:16,Cold Brew,Protein Box,5.70,0.59,Mobile,Mobile App,6.28
107,395,3,2025-01-16 16:54,16:54:55,Cold Brew,Cookie,6.13,6.12,Card,Mobile App,12.25
108,10,1,2024-03-25 6:09,6:09:43,Frappuccino,Croissant,5.67,2.28,Mobile,Mobile App,7.95
109,195,4,2024-03-08 14:19,14:19:49,Mocha,Protein Box,4.20,7.10,Card,Mobile App,11.30
110,118,2,2024-11-14 13:29,13:29:14,Mocha,None,5.62,2.94,Mobile,Mobile App,8.56
111,270,4,2024-09-24 9:49,9:49:50,Cold Brew,Croissant,4.42,1.14,Card,In-Store,5.57
112,80,2,2024-03-29 13:17,13:17:45,Latte,Bagel,4.23,5.57,Mobile,In-Store,9.79
113,458,1,2024-09-08 2:47,2:47:26,Cold Brew,Bagel,3.72,1.32,Card,In-Store,5.04
114,93,4,2024-08-16 23:09,23:09:45,Cappuccino,None,5.73,6.03,Mobile,In-Store,11.76
115,266,4,2025-01-06 14:32,14:32:40,Cold Brew,Oatmeal,5.63,7.74,Card,Mobile App,13.38
116,332,1,2024-06-30 19:22,19:22:38,Cappuccino,Oatmeal,4.20,6.24,Mobile,In-Store,10.44
117,350,4,2024-08-05 16:42,16:42:23,Hot Chocolate,None,5.75,0.18,Mobile,Mobile App,5.93
118,361,2,2025-02-17 12:53,12:53:23,Mocha,Croissant,6.25,4.80,Mobile,In-Store,11.05
119,257,4,2024-10-03 19:07,19:07:01,Frappuccino,Cake Pop,3.82,5.56,Card,Mobile App,9.39
120,133,3,2024-11-30 14:29,14:29:22,Frappuccino,Oatmeal,4.20,6.60,Card,In-Store,10.80
121,276,5,2024-04-12 1:09,1:09:46,Americano,Oatmeal,5.75,0.45,Mobile,In-Store,6.20
122,264,2,2024-11-26 22:43,22:43:39,Cold Brew,Sandwich,4.32,3.84,Card,Mobile App,8.16
123,171,3,2025-01-18 3:32,3:32:45,Cappuccino,Protein Box,5.37,4.28,Card,In-Store,9.66
124,460,1,2025-01-30 23:02,23:02:29,Americano,Cookie,3.74,1.35,Cash,Mobile App,5.10
125,1,2,2024-06-17 13:16,13:16:10,Cold Brew,Cookie,4.86,2.58,Card,In-Store,7.44
126,313,5,2024-09-19 18:25,18:25:22,Frappuccino,None,5.72,3.52,Card,In-Store,9.24
127,64,5,2024-03-03 15:25,15:25:37,Mocha,Sandwich,5.56,6.67,Mobile,Mobile App,12.23
128,374,1,2024-10-12 22:05,22:05:18,Americano,Protein Box,5.95,7.44,Card,Mobile App,13.38
129,468,1,2024-07-06 12:08,12:08:53,Cappuccino,Cookie,6.13,5.03,Mobile,Mobile App,11.16
130,284,2,2025-02-11 18:52,18:52:16,Frappuccino,Oatmeal,5.82,3.16,Cash,In-Store,8.98
131,121,4,2024-08-04 11:49,11:49:01,Hot Chocolate,Protein Box,5.51,2.03,Mobile,Mobile App,7.55
132,107,1,2024-04-23 10:46,10:46:12,Mocha,Cookie,3.60,7.86,Mobile,In-Store,11.45
133,421,4,2024-04-20 2:05,2:05:49,Cold Brew,Protein Box,5.10,7.86,Mobile,In-Store,12.97
134,175,3,2024-10-16 3:37,3:37:46,Americano,Croissant,3.61,7.40,Card,Mobile App,11.01
135,485,5,2024-10-22 0:00,0:00:21,Hot Chocolate,Croissant,5.92,6.29,Cash,In-Store,12.21
136,204,4,2024-03-02 4:16,4:16:30,Cappuccino,Sandwich,4.46,2.61,Mobile,In-Store,7.07
137,165,5,2024-03-25 7:37,7:37:57,Mocha,None,5.19,6.54,Card,Mobile App,11.72
138,305,4,2024-12-09 4:50,4:50:41,Hot Chocolate,Cookie,4.34,3.27,Card,In-Store,7.61
139,497,3,2024-10-05 14:41,14:41:02,Cold Brew,Cookie,5.85,2.61,Card,In-Store,8.46
140,120,1,2024-02-26 19:35,19:35:22,Latte,Cake Pop,6.16,5.96,Mobile,In-Store,12.12
141,44,3,2024-08-09 16:25,16:25:56,Cold Brew,Oatmeal,4.70,0.64,Card,Mobile App,5.33
142,312,1,2024-04-05 9:14,9:14:09,Frappuccino,Oatmeal,6.09,0.39,Mobile,Mobile App,6.48
143,156,1,2024-05-07 20:52,20:52:54,Americano,Cookie,4.30,3.58,Card,In-Store,7.88
144,367,5,2024-04-19 12:26,12:26:22,Espresso,Croissant,5.10,3.57,Mobile,In-Store,8.67
145,207,3,2024-10-16 1:12,1:12:57,Cold Brew,None,6.08,7.17,Mobile,In-Store,13.24
146,390,4,2024-02-27 22:37,22:37:44,Tea,Muffin,4.48,1.01,Card,Mobile App,5.49
147,108,3,2024-04-29 17:14,17:14:38,Espresso,Protein Box,6.36,0.99,Mobile,In-Store,7.35
148,251,5,2024-08-02 14:23,14:23:11,Espresso,Muffin,3.87,1.18,Mobile,In-Store,5.05
149,445,1,2025-02-09 7:02,7:02:54,Americano,Bagel,3.55,0.24,Card,Mobile App,3.79
150,404,5,2025-01-16 12:22,12:22:50,Americano,Croissant,6.21,0.57,Mobile,Mobile App,6.79
151,370,2,2024-09-18 6:18,6:18:27,Cappuccino,Cake Pop,3.71,5.28,Mobile,In-Store,8.98
152,334,2,2024-10-30 5:31,5:31:28,Frappuccino,Sandwich,6.48,3.45,Mobile,In-Store,9.93
153,130,4,2024-06-25 3:22,3:22:43,Cappuccino,Sandwich,6.35,6.11,Mobile,In-Store,12.46
154,457,5,2024-05-30 15:56,15:56:30,Hot Chocolate,Croissant,3.91,7.94,Mobile,In-Store,11.85
155,293,4,2024-04-12 1:19,1:19:52,Hot Chocolate,Bagel,5.11,5.27,Mobile,In-Store,10.39
156,20,4,2024-03-09 3:44,3:44:28,Hot Chocolate,Sandwich,4.05,0.40,Cash,Mobile App,4.46
157,282,2,2024-09-28 15:48,15:48:06,Latte,Protein Box,4.78,0.84,Mobile,In-Store,5.62
158,285,4,2024-06-25 2:50,2:50:57,Cold Brew,Sandwich,3.68,7.05,Mobile,In-Store,10.73
159,1,2,2024-11-07 22:17,22:17:15,Americano,Cookie,4.17,4.22,Mobile,In-Store,8.39
160,119,1,2024-11-03 21:32,21:32:40,Mocha,Croissant,4.59,6.60,Mobile,Mobile App,11.19
161,35,5,2024-06-25 0:41,0:41:30,Americano,Bagel,4.82,6.85,Card,In-Store,11.67
162,198,4,2024-12-11 22:13,22:13:37,Americano,None,6.43,7.42,Card,In-Store,13.85
163,485,2,2025-01-10 9:36,9:36:10,Americano,Croissant,5.92,7.60,Mobile,Mobile App,13.52
164,245,3,2024-06-15 23:09,23:09:33,Americano,Protein Box,5.71,4.44,Mobile,Mobile App,10.15
165,59,4,2024-05-14 3:07,3:07:43,Tea,Protein Box,5.11,2.73,Mobile,In-Store,7.84
166,325,1,2024-12-18 15:02,15:02:11,Latte,Oatmeal,6.02,7.69,Card,In-Store,13.71
167,161,1,2024-07-13 15:06,15:06:14,Mocha,Muffin,4.52,4.38,Mobile,In-Store,8.90
168,497,3,2024-07-27 15:46,15:46:55,Cold Brew,Protein Box,5.63,0.51,Mobile,In-Store,6.14
169,179,2,2024-09-23 16:51,16:51:19,Espresso,None,6.48,5.14,Mobile,Mobile App,11.62
170,206,4,2024-04-28 9:07,9:07:33,Tea,Oatmeal,4.44,4.70,Card,In-Store,9.15
171,12,2,2024-11-08 22:50,22:50:51,Frappuccino,None,5.52,7.17,Card,In-Store,12.69
172,490,1,2024-04-10 4:45,4:45:36,Tea,Oatmeal,6.03,5.23,Cash,In-Store,11.26
173,276,2,2024-07-11 18:20,18:20:50,Espresso,Bagel,6.25,2.79,Mobile,In-Store,9.04
174,181,1,2024-12-13 9:49,9:49:31,Hot Chocolate,Protein Box,5.65,7.73,Mobile,In-Store,13.38
175,242,2,2024-03-29 2:58,2:58:12,Espresso,Oatmeal,4.35,6.41,Mobile,Mobile App,10.76
176,216,3,2024-05-14 20:58,20:58:18,Frappuccino,Muffin,4.48,5.04,Card,Mobile App,9.52
177,251,5,2024-09-30 8:24,8:24:16,Tea,Muffin,3.56,2.34,Cash,Mobile App,5.91
178,299,3,2024-10-21 1:52,1:52:46,Espresso,Muffin,5.78,2.99,Mobile,Mobile App,8.77
179,126,3,2024-11-10 12:20,12:20:21,Cold Brew,Croissant,3.63,5.36,Mobile,In-Store,8.99
180,482,5,2024-12-29 14:45,14:45:16,Tea,Bagel,6.09,0.58,Mobile,In-Store,6.67
181,217,5,2024-07-02 4:09,4:09:12,Tea,Cookie,3.86,2.05,Mobile,In-Store,5.91
182,306,4,2024-08-17 2:36,2:36:55,Frappuccino,Oatmeal,4.02,5.71,Mobile,Mobile App,9.73
183,285,4,2024-06-26 5:42,5:42:22,Mocha,Bagel,4.93,3.84,Mobile,In-Store,8.77
184,185,3,2024-10-04 0:45,0:45:43,Hot Chocolate,Bagel,5.71,3.22,Mobile,In-Store,8.93
185,39,3,2024-03-31 3:51,3:51:05,Hot Chocolate,Sandwich,3.92,1.21,Mobile,Mobile App,5.13
186,223,1,2024-06-08 6:45,6:45:14,Mocha,Cake Pop,4.82,3.53,Card,In-Store,8.36
187,184,1,2024-08-15 5:42,5:42:22,Americano,Bagel,4.95,6.17,Mobile,In-Store,11.11
188,495,4,2024-05-25 3:50,3:50:55,Espresso,Cookie,4.14,2.11,Mobile,In-Store,6.25
189,427,4,2024-07-29 19:12,19:12:11,Americano,Cake Pop,3.85,0.04,Mobile,Mobile App,3.89
190,178,1,2025-01-19 19:58,19:58:10,Frappuccino,Protein Box,6.01,5.35,Card,In-Store,11.36
191,407,1,2024-05-18 1:43,1:43:04,Latte,Muffin,5.01,7.78,Card,Mobile App,12.79
192,428,2,2024-07-31 7:47,7:47:40,Tea,Muffin,3.54,4.85,Mobile,Mobile App,8.40
193,294,2,2024-07-19 3:14,3:14:59,Cold Brew,Bagel,5.91,0.96,Mobile,In-Store,6.87
194,340,1,2024-12-10 9:52,9:52:15,Hot Chocolate,Oatmeal,6.44,2.57,Mobile,In-Store,9.01
195,151,2,2024-10-17 19:19,19:19:07,Cappuccino,Cake Pop,5.32,6.94,Card,In-Store,12.26
196,384,5,2025-01-08 22:33,22:33:57,Hot Chocolate,Oatmeal,5.01,1.86,Card,In-Store,6.87
197,126,4,2024-07-15 8:40,8:40:01,Cappuccino,Cookie,6.14,4.86,Card,In-Store,11.00
198,301,4,2024-03-16 19:50,19:50:16,Frappuccino,Oatmeal,6.36,3.22,Mobile,Mobile App,9.58
199,308,1,2024-11-09 16:19,16:19:38,Cappuccino,Sandwich,5.76,1.66,Cash,In-Store,7.43
200,336,3,2024-05-04 2:27,2:27:19,Americano,Sandwich,4.84,6.51,Cash,Mobile App,11.34
201,434,1,2025-01-18 17:20,17:20:30,Frappuccino,Sandwich,5.28,5.94,Card,Mobile App,11.22
202,234,2,2025-01-07 13:21,13:21:30,Tea,Cake Pop,5.60,5.29,Mobile,In-Store,10.90
203,380,3,2024-11-25 17:16,17:16:48,Hot Chocolate,Cookie,4.08,1.89,Mobile,In-Store,5.97
204,375,2,2024-11-05 14:51,14:51:28,Americano,Muffin,4.84,0.78,Mobile,In-Store,5.62
205,8,5,2024-10-26 14:07,14:07:26,Mocha,Muffin,5.99,4.61,Mobile,Mobile App,10.60
206,498,2,2024-03-03 2:46,2:46:04,Cappuccino,Oatmeal,5.46,4.43,Mobile,Mobile App,9.89
207,341,5,2024-08-19 12:41,12:41:05,Espresso,Oatmeal,4.73,1.51,Card,Mobile App,6.24
208,129,5,2024-05-10 19:28,19:28:57,Tea,Cookie,5.49,0.45,Card,Mobile App,5.94
209,264,2,2024-09-23 5:42,5:42:44,Cold Brew,Croissant,3.85,0.65,Cash,Mobile App,4.50
210,157,2,2025-01-03 19:40,19:40:43,Latte,Cookie,4.70,7.94,Mobile,In-Store,12.65
211,352,5,2024-03-01 11:49,11:49:57,Mocha,Oatmeal,5.88,6.27,Mobile,In-Store,12.15
212,358,3,2024-10-18 22:42,22:42:40,Latte,Protein Box,4.16,7.38,Card,In-Store,11.54
213,5,5,2024-12-23 5:45,5:45:47,Mocha,Bagel,4.06,1.56,Mobile,In-Store,5.62
214,495,4,2025-01-16 19:01,19:01:20,Hot Chocolate,Oatmeal,6.35,7.68,Mobile,Mobile App,14.04
215,86,5,2025-02-21 20:19,20:19:54,Cold Brew,Cake Pop,4.13,1.14,Cash,In-Store,5.27
216,175,3,2024-07-08 21:37,21:37:20,Espresso,Bagel,4.28,4.07,Card,Mobile App,8.36
217,290,4,2024-05-12 18:44,18:44:35,Mocha,None,6.41,6.64,Mobile,In-Store,13.05
218,193,1,2025-01-26 0:54,0:54:35,Cappuccino,Oatmeal,5.70,2.80,Card,In-Store,8.50
219,311,1,2024-11-26 12:24,12:24:38,Cold Brew,Croissant,5.60,3.40,Card,In-Store,9.00
220,119,3,2024-03-19 16:50,16:50:34,Espresso,None,6.06,1.03,Card,Mobile App,7.08
221,218,5,2024-07-10 18:03,18:03:03,Latte,Bagel,3.85,0.98,Card,In-Store,4.83
222,427,2,2024-10-29 2:35,2:35:05,Cold Brew,Muffin,5.62,4.96,Mobile,Mobile App,10.57
223,458,3,2024-11-08 5:02,5:02:00,Cappuccino,None,5.01,5.40,Card,Mobile App,10.42
224,414,4,2024-02-24 12:30,12:30:57,Cold Brew,None,5.99,6.22,Mobile,Mobile App,12.21
225,114,4,2024-03-09 11:33,11:33:46,Americano,Sandwich,5.02,4.45,Mobile,In-Store,9.48
226,466,1,2024-06-02 16:00,16:00:55,Americano,Cake Pop,5.36,5.17,Cash,In-Store,10.53
227,145,4,2025-01-17 15:46,15:46:08,Latte,Muffin,4.93,0.11,Mobile,Mobile App,5.04
228,26,3,2024-06-16 9:01,9:01:52,Frappuccino,Cake Pop,4.93,1.30,Card,In-Store,6.23
229,136,4,2024-10-02 13:46,13:46:19,Tea,Cake Pop,5.80,7.88,Card,In-Store,13.68
230,303,3,2024-07-07 18:47,18:47:57,Americano,Muffin,5.39,0.61,Cash,In-Store,5.99
231,232,2,2024-08-10 0:20,0:20:46,Tea,None,5.40,5.43,Card,Mobile App,10.83
232,369,1,2024-11-24 18:51,18:51:05,Tea,Cake Pop,4.85,1.41,Mobile,In-Store,6.26
233,76,4,2024-08-23 5:08,5:08:41,Latte,Sandwich,5.09,5.73,Mobile,In-Store,10.83
234,475,3,2024-05-18 3:17,3:17:40,Cappuccino,Oatmeal,5.74,5.65,Mobile,In-Store,11.39
235,328,5,2024-09-19 20:02,20:02:42,Latte,None,5.98,1.87,Mobile,In-Store,7.85
236,345,1,2024-07-13 18:19,18:19:10,Frappuccino,Cookie,5.59,2.16,Mobile,In-Store,7.75
237,302,2,2024-10-13 20:56,20:56:44,Espresso,Protein Box,6.27,5.24,Mobile,Mobile App,11.51
238,452,3,2024-08-15 19:41,19:41:30,Americano,Croissant,5.96,3.12,Card,Mobile App,9.08
239,289,2,2024-06-10 0:39,0:39:40,Hot Chocolate,Oatmeal,5.19,1.56,Cash,Mobile App,6.74
240,1,2,2024-09-17 14:22,14:22:48,Hot Chocolate,Sandwich,5.51,5.85,Card,In-Store,11.37
241,147,4,2024-05-07 2:33,2:33:39,Mocha,Oatmeal,6.28,1.23,Card,Mobile App,7.51
242,287,4,2025-01-01 20:40,20:40:53,Cappuccino,Bagel,5.36,6.85,Mobile,In-Store,12.20
243,464,3,2025-01-25 20:44,20:44:37,Frappuccino,Sandwich,5.97,4.12,Mobile,In-Store,10.09
244,142,5,2024-04-29 23:52,23:52:42,Espresso,Oatmeal,5.57,0.85,Mobile,In-Store,6.41
245,53,3,2024-04-27 12:28,12:28:15,Frappuccino,Cake Pop,5.16,5.55,Card,In-Store,10.71
246,304,5,2024-06-05 13:10,13:10:14,Cappuccino,None,4.23,4.15,Mobile,In-Store,8.38
247,69,2,2024-05-26 22:49,22:49:16,Latte,Bagel,4.78,2.38,Card,In-Store,7.16
248,361,1,2024-12-25 6:33,6:33:03,Espresso,Bagel,6.40,3.38,Mobile,In-Store,9.78
